source_file,decision,reason,sha256
code/AssetRipper_generated_CSharp/Assembly-CSharp/ActiveCostType.cs,保留,主棋盘与二合规则/状态/操作,57149a41ad7aa6ffa5f4446bbc99d57455b602d8d6b4f4012c8b82d017791f0e
code/AssetRipper_generated_CSharp/Assembly-CSharp/Activity/AirplaneRacing/MergeBallonRacing.cs,移除,活动外围或通用代码；未列为理解二合执行链的必要文件,f476666bb8df7cc947cdc3c0b1828dcd8f38ca22c485c8c9f8a84ca699bf4f9a
code/AssetRipper_generated_CSharp/Assembly-CSharp/Activity/BattlePass/Dynamic/MergeBattlePassItem.cs,移除,活动礼包/奖励/通行证数据结构，不参与二合规则实现,316f3bd8d36a550dc2a549ef2b8c35fb7d5f17af78ee0f599816f3e47623b7b2
code/AssetRipper_generated_CSharp/Assembly-CSharp/Activity/BattlePass_10/Dynamic/MergeBattlePassItem.cs,移除,活动礼包/奖励/通行证数据结构，不参与二合规则实现,c6a636c2e46a36531f69b199af67d2ab99b28c73660c45b9d74b52a007c74925
code/AssetRipper_generated_CSharp/Assembly-CSharp/Activity/BattlePass_2/Dynamic/MergeBattlePassItem.cs,移除,活动礼包/奖励/通行证数据结构，不参与二合规则实现,244d92ef37ecd9559203064f8a57d548a0bfe4590ebed085494d9aba43d207e1
code/AssetRipper_generated_CSharp/Assembly-CSharp/Activity/BattlePass_3/Dynamic/MergeBattlePassItem.cs,移除,活动礼包/奖励/通行证数据结构，不参与二合规则实现,2adf23d761933baf6a789b072587c6d3ecc48a8525e3280143859fe536b6b2df
code/AssetRipper_generated_CSharp/Assembly-CSharp/Activity/BattlePass_4/Dynamic/MergeBattlePassItem.cs,移除,活动礼包/奖励/通行证数据结构，不参与二合规则实现,d9e0306126bc55005c4918a52d0bc91a729864781b3becd12703a06a6576c44c
code/AssetRipper_generated_CSharp/Assembly-CSharp/Activity/BattlePass_5/Dynamic/MergeBattlePassItem.cs,移除,活动礼包/奖励/通行证数据结构，不参与二合规则实现,7b932a319eee4f30670ba5616e03560f017a650efa991355b0f99ffd5af0a266
code/AssetRipper_generated_CSharp/Assembly-CSharp/Activity/BattlePass_6/Dynamic/MergeBattlePassItem.cs,移除,活动礼包/奖励/通行证数据结构，不参与二合规则实现,098367c97107316d2f49824ab15eedfc82b6b37592f1eace55b6965d219e02a9
code/AssetRipper_generated_CSharp/Assembly-CSharp/Activity/BattlePass_7/Dynamic/MergeBattlePassItem.cs,移除,活动礼包/奖励/通行证数据结构，不参与二合规则实现,e8810cb53dbc31010d66fc5c76c4e4e016ff55c8186d12c76bec4741f305bb8f
code/AssetRipper_generated_CSharp/Assembly-CSharp/Activity/BattlePass_8/Dynamic/MergeBattlePassItem.cs,移除,活动礼包/奖励/通行证数据结构，不参与二合规则实现,1d28d19d1a59d9bfc4c3c3c56dfac602595ec41a7f633a50eece5588c926c34a
code/AssetRipper_generated_CSharp/Assembly-CSharp/Activity/BattlePass_9/Dynamic/MergeBattlePassItem.cs,移除,活动礼包/奖励/通行证数据结构，不参与二合规则实现,6837acdc4ae68025012c143ec2a46589fbf6263e18db4ac65076d899eae61d0d
code/AssetRipper_generated_CSharp/Assembly-CSharp/Activity/BoatRacing/MergeBallonRacing.cs,移除,活动外围或通用代码；未列为理解二合执行链的必要文件,2cf656f94eeefcf82171778dd30629fba844885742b0769022efb0cf6ffe9cad
code/AssetRipper_generated_CSharp/Assembly-CSharp/Activity/Candy/CandyModel.cs,保留,主棋盘直接调用的特殊产出/状态模型,8bdc159c3a39c248b8d258c3db2df2ee7f4b5a26f8836740b6ded6a11ff95829
code/AssetRipper_generated_CSharp/Assembly-CSharp/Activity/CoinRaceRacing/MergeCoinRaceRacing.cs,移除,活动外围或通用代码；未列为理解二合执行链的必要文件,183dcb650b27e6bef09d0446129f2528431e4c53b808212de1b1a0c487861cc5
code/AssetRipper_generated_CSharp/Assembly-CSharp/Activity/CoinraceSupermarketRacing/MergeCoinRaceRacing.cs,移除,活动外围或通用代码；未列为理解二合执行链的必要文件,c319f5105db86ebbb7722895f044327af40034ec804f8ffe00c103745a3434f5
code/AssetRipper_generated_CSharp/Assembly-CSharp/Activity/ComboCriticalHit/ComboCriticalHitModel.cs,保留,改变合成产出/棋盘状态的活动模型,f6841b9a2235bf2c5fcce5f98ac50f0648fd6ecf98f714effada8f6d0bfd781f
code/AssetRipper_generated_CSharp/Assembly-CSharp/Activity/ComboCriticalHit/ComboManager.cs,移除,活动外围或通用代码；未列为理解二合执行链的必要文件,93ee76d344df69d9987aadac5f116b9b59391bbec461eb3604d5c9f80c75f0f3
code/AssetRipper_generated_CSharp/Assembly-CSharp/Activity/ComboCriticalHit/MergeComboCriticalHit.cs,移除,通用框架或活动进度展示；不执行二合判定、生成或状态持久化,0df174fd750eb8cb5c78adb27eec8f3d344737b8cee3c3b7efac9572752ec139
code/AssetRipper_generated_CSharp/Assembly-CSharp/Activity/ComboCriticalHit/MergeComboCriticalHitSliderNode.cs,移除,展示与活动界面代码，范围外；棋盘交互入口已保留,64e4fe6e5450991e5cf2a62826f0cc7b5d6be8d0a0318e9bb74a8ab09f36dba1
code/AssetRipper_generated_CSharp/Assembly-CSharp/Activity/ComboPlay/Model/ComboManager.cs,移除,活动外围或通用代码；未列为理解二合执行链的必要文件,acfb9f57489a7b1e94cc4a4147d826e46f61e3338ce140169b8c1ff0d0bafcf8
